fid,left,top,right,bottom,plot_id,xcoord,ycoord,Number_Burrows,Area_Surveyed,Radius,NN_Elevation,NN_slope,NN_aspect,NN_NDVI,NN_SAVI,Bi_Elevation,Bi_slope,Bi_aspect,Bi_NDVI,Bi_SAVI,col,cor_Radius,WeightedBuff_Elevation,WeightedBuff_slope,WeightedBuff_NDVI,WeightedBuff_SAVI,geometry
778,-700166.4662,7755597.241,-700066.4662,7755497.241,P_778,-700116.4662,7755547.241,140,314,10,587.2590281386232,33.66059416461829,60.34511500183242,0.6364897553732406,824.2584297096217,585.7303985671534,33.48723880166475,59.56473813249945,0.642672507584239,804.3061634647529,2,8.323355260121962,587.6013420985397,33.70503992394963,0.6359352203924503,822.2580605223733,"c(664745.973586879, 6318164.09003049)"
779,-700166.4662,7755497.241,-700066.4662,7755397.241,P_779,-700116.4662,7755447.241,118,314,10,604.9212244289148,31.680338253892142,63.6146038863573,0.48820417713004605,786.2709029441534,600.8851197352129,32.22662573728641,63.41963969672341,0.560789874915489,765.5348743904834,2,8.509913813357429,601.5316298540064,32.192183763066105,0.5532385058820994,766.9542854205409,"c(664748.135949864, 6318109.62001808)"
783,-700166.4662,7755097.241,-700066.4662,7754997.241,P_783,-700116.4662,7755047.241,113,314,10,691.8314226292212,35.27736338599513,76.97307781151903,0.7045920364892135,491.73704638497287,694.1616848003648,37.17617693137956,72.01751027035375,0.6571245522157836,485.47127768629764,2,8.163658283598584,694.8101713679226,36.64796448491303,0.6757187730207177,487.4836797204905,"c(664756.785564647, 6317891.73284121)"
784,-700166.4662,7754997.241,-700066.4662,7754897.241,P_784,-700116.4662,7754947.241,187,314,10,694.4629648923533,31.31480179812383,86.64355264668924,0.6409654033046528,681.0602976106509,697.2137071318938,32.226877969477215,92.00426136711744,0.6160018531574365,686.7953030322517,2,8.543245889953777,696.8909909056166,32.11267095990906,0.6305456384110955,680.7294643105788,"c(664758.94800905, 6317837.25926516)"
787,-700166.4662,7754697.241,-700066.4662,7754597.241,P_787,-700116.4662,7754647.241,78,314,10,651.1403697138411,44.36874435226614,106.44537009997103,0.5061801754526889,640.5182603838241,653.129697441821,44.70970877720367,106.03977284447754,0.49844451313735855,644.597345873051,2,7.148542494270358,652.2985321292772,44.568273890937576,0.5034170948427058,642.3254687525857,"c(664765.435439955, 6317673.83426055)"
800,-700066.4662,7757697.241,-699966.4662,7757597.241,P_800,-700016.4662,7757647.241,26,314,10,478.2953869338493,28.5725994889463,1.369393928391859,0.509206514176838,760.0103775918788,472.8257613294084,27.36334683023493,60.61713471550233,0.4962920181812472,757.6186855365925,2,8.78211799413511,476.43108826866995,27.854163818218737,0.49820486807327635,755.6891964315992,"c(664755.131342505, 6319309.96236009)"
801,-700066.4662,7757597.241,-699966.4662,7757497.241,P_801,-700016.4662,7757547.241,21,314,10,493.0564831589719,22.611127910510564,9.383663822900875,0.41902710126803955,715.6494059435217,498.1390483413493,19.832119867415052,9.018772910349433,0.3932252288689061,831.0880147077994,2,9.23135562372042,497.5986589415482,20.157455495010865,0.39813452706396013,819.1408238389013,"c(664757.294080309, 6319255.50732993)"
803,-700066.4662,7757397.241,-699966.4662,7757297.241,P_803,-700016.4662,7757347.241,15,314,10,533.5644178817515,28.21816063930501,8.144680640360752,0.49852918027938053,902.2411529388576,533.5921203481274,28.132679767788755,8.099363185419573,0.4868808207462131,905.1504348213014,2,8.811536267126758,533.7448240250004,28.2451363978723,0.4915558677315896,903.5319407202009,"c(664761.619604814, 6319146.59513179)"
804,-700066.4662,7757297.241,-699966.4662,7757197.241,P_804,-700016.4662,7757247.241,117,314,10,570.4254586797954,24.456607720376898,13.700728643354857,0.6387191060247722,733.5725641159509,566.1692972483909,25.952376801951605,12.652128807586612,0.6404304160005383,755.3076528969,2,9.102750729003013,569.6657851175294,24.708797689221434,0.6385788448660005,737.3457267598908,"c(664763.782391514, 6319092.1379638)"
805,-700066.4662,7757197.241,-699966.4662,7757097.241,P_805,-700016.4662,7757147.241,78,314,10,591.040689013204,24.197298324639824,12.231996122169248,0.519508802014246,775.8912436882316,585.7433949771762,21.850464910578516,13.163725373236488,0.5151653873089157,762.4427910098443,2,9.121394443125041,585.899783257848,21.863813198460036,0.515135560744437,762.1487967537557,"c(664765.945194511, 6319037.68008319)"
807,-700066.4662,7756997.241,-699966.4662,7756897.241,P_807,-700016.4662,7756947.241,64,314,10,658.636010800958,44.239560403501045,6.902418271611632,0.5818890992386241,578.8878615019298,658.7650188675854,44.97301883258757,19.290496036828927,0.5925093442177665,559.5463704720526,2,7.16429072675818,657.8769195391396,45.12822080125866,0.5895284833537754,568.6796525301149,"c(664770.270849396, 6318928.76218409)"
808,-700066.4662,7756897.241,-699966.4662,7756797.241,P_808,-700016.4662,7756847.241,111,314,10,699.673425932696,10.915439603968851,52.25833978311207,0.628358330247192,706.3981476450892,695.09354840416745,23.597140329206955,96.59595905970717,0.6067494688603887,655.964844420155,2,9.819077211316074,696.7248916372777,20.55922625658424,0.6036782913583207,728.6712320143768,"c(664772.433701284, 6318874.30216558)"
