Date,Time,Grid_Centroid,Number_Burrows,Number_Playback,Response_in_Gap,Number_Respond_in_Tape,Area_Surveyed,Callibration_Burrow,Burrow_per_m2,Wind,Rain,Slope,Grass_%,Boulder_%,Suitable_%,veg_height,Survey_Team,
27/05/2021,15:41,P_1176,75,32,8,0,314,N,0.238853503,Low,None,40,65,35,70,low,Roz_Freddie,
27/05/2021,16:56,P_1181,60,29,13,1,314,N,0.191082803,Low,None,50,50,30,55,low,Roz_Freddie,
27/05/2021,11:00,P_783,113,30,9,3,314,N,0.359872611,Low,None,20,80,20,80,low,Luke_Josh,
27/05/2021,11:50,P_739,65,31,12,1,314,N,0.207006369,Low,None,30,60,40,40,low,Luke_Josh,
27/05/2021,13:00,P_738,43,26,7,2,314,N,0.136942675,Low,None,30,80,20,60,low,Luke_Josh,
27/05/2021,14:00,P_871,93,24,9,1,314,N,0.296178344,Low,None,15,60,40,60,low,Luke_Josh,
27/05/2021,15:00,P_829,65,31,14,1,314,N,0.207006369,Low,None,20,40,60,70,low,Luke_Josh,
27/05/2021,16:25,P_830,124,35,13,4,314,N,0.394904459,Low,None,25,30,70,40,low,Luke_Josh,
27/05/2021,17:10,P_831,68,32,17,0,314,N,0.21656051,Low,None,20,60,40,70,low,Luke_Josh,
28/05/2021,10:05,P_305,6,6,1,1,314,N,0.01910828,Moderate,None,15,90,10,10,low,Luke_Josh,
28/05/2021,10:20,P_281,6,6,3,0,314,N,0.01910828,Low,None,20,30,70,10,low,Luke_Josh,
28/05/2021,10:30,P_268,11,11,5,2,314,N,0.035031847,Moderate,None,15,75,25,10,low,Luke_Josh,
27/05/2021,10:50,P_1466,61,20,12,0,314,N,0.194267516,Moderate,None,70,80,5,70,med,Stu_Rich,
27/05/2021,11:36,P_1450,109,28,8,1,314,N,0.347133758,Low,None,50,90,10,90,low,Stu_Rich,
27/05/2021,13:00,P_1386,143,35,15,1,314,N,0.455414013,Low,None,70,95,5,60,low,Stu_Rich,
27/05/2021,13:50,P_1397,188,48,22,3,314,N,0.598726115,Low,None,60,85,5,85,low,Stu_Rich,
27/05/2021,14:40,P_1375,89,23,5,1,314,N,0.28343949,Low,None,60,50,20,40,low,Stu_Rich,
27/05/2021,15:30,P_1398,89,23,13,1,314,N,0.28343949,Low,None,60,80,10,75,low,Stu_Rich,
27/05/2021,16:10,P_1409,69,20,10,1,314,N,0.219745223,Low,None,75,60,5,50,low,Stu_Rich,
28/05/2021,11:48,P_583,3,3,0,0,314,N,0.00955414,Low,None,40,30,0,15,low,Stu_Rich,
28/05/2021,11:59,P_582,3,3,1,0,314,N,0.00955414,Low,None,50,20,0,10,low,Stu_Rich,
28/05/2021,12:12,P_536,10,10,8,0,314,N,0.031847134,Low,None,70,75,0,25,low,Stu_Rich,
27/05/2021,10:56,P_736,73,33,16,4,314,N,0.232484076,Low,None,60,60,10,70,low,Aimee_Tess,
27/05/2021,12:11,P_869,89,35,14,4,314,N,0.28343949,Low,None,50,90,10,100,low,Aimee_Tess,
27/05/2021,13:33,P_828,102,35,22,1,314,N,0.324840764,Low,None,40,40,30,45,low,Aimee_Tess,
27/05/2021,14:51,P_787,78,33,15,2,314,N,0.248407643,Low,None,70,60,40,55,low,Aimee_Tess,
27/05/2021,15:42,P_747,66,32,14,3,314,N,0.210191083,Low,None,45,85,15,100,low,Aimee_Tess,
27/05/2021,16:51,P_832,76,31,17,2,314,N,0.242038217,Low,None,40,75,15,90,low,Aimee_Tess,
28/05/2021,10:46,P_760,10,10,4,0,314,N,0.031847134,Low,None,25,15,20,15,low,Aimee_Tess,
28/05/2021,11:10,P_803,15,15,7,1,314,N,0.047770701,Low,None,25,50,4,30,low,Aimee_Tess,
28/05/2021,11:40,P_930,9,9,3,0,314,N,0.02866242,Moderate,None,15,25,20,25,low,Aimee_Tess,
,,,9003,3653,,,,,,,,,,,,,,
