SurfaceArea,Pred_dens,Pred_AOBs,Bark_south
550.5047949,0.097427352,30.61897837,0
541.0132167,0.073119415,22.47504425,0
534.8015711,0.073019261,22.18580612,0
571.0028039,0.068255557,22.12162918,0
580.6694502,0.061442524,20.22464837,0
587.0621448,0.06302061,20.97770335,0
577.9318633,0.067969081,22.29451577,0
588.2568501,0.095738791,32.1414494,0
549.0268549,0.126398755,39.8651809,0
544.6692846,0.137013704,42.98009561,0
544.5872662,0.145233014,45.65136254,0
557.8061374,0.080002603,25.38759323,0
557.0995393,0.109284836,34.84149818,0
548.7722795,0.101686158,31.88352005,0
540.8581703,0.081567601,25.10571461,0
536.5171324,0.073509496,22.40949422,0
556.5025058,0.072652575,22.96814906,0
571.9186921,0.080395817,26.15947428,0
586.2514492,0.081640156,27.23728592,0
598.2560984,0.10776233,36.88225922,0
